Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-15 11:06:29.029 -0600,"Success",0:00:00,0,11,0,"20160615_110629.029/LogFile.txt","","",14
2016-06-15 11:18:57.057 -0600,"Success",0:00:00,0,11,0,"20160615_111857.057/LogFile.txt","","",14
