Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
FeatureTest1,Success,9,0,2016-06-01 14:50:39 -0600,2016-06-15 11:18:57 -0600,0:00:00
MultiplicationTableTest,Failure,30,13,2016-06-06 11:43:36 -0600,2016-06-08 16:59:26 -0600,0:00:09
GherkinScripts,Success,1,0,2016-06-15 15:57:53 -0600,2016-06-15 15:57:53 -0600,0:00:00
CalcTesting2,Success,1,0,2016-06-15 11:03:50 -0600,2016-06-15 11:03:50 -0600,0:00:00
CalcAppTesting,Success,38,2,2016-06-13 14:34:59 -0600,2016-06-15 14:46:24 -0600,0:00:00
CalculatorTesting,Failure,12,5,2016-06-14 16:52:37 -0600,2016-06-23 12:51:59 -0600,0:00:06
